code	name	last_modified	transfer_auto	transfer_evidence	vital_auto	vital_evidence	health_sensitive_auto	health_evidence	medical_basis_auto	medical_evidence	law_first_line
MC	Monaco	6 February 2025	COND	Monaco is not part of the EU, so the DPL does not distinguish between EEA jurisdictions and non-EEA jurisdictions.	no		yes	Definition of sensitive personal data While not expressly defined under the DPL, sensitive personal data is considered to be personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, trade union membership, and the processing of data concerning health /	no		Within the Principality of Monaco (Monaco) data protection law have been recently updated by Data Protection Law n° 1.565 of December 3, 2024 (the“ DPL” ).
MN	Mongolia	20 March 2026	COND	Under the Data Protection Law, transfer of Personal Data is prohibited unless otherwise approved under the relevant laws or permitted by the Data Owner.	no		no		no		On 17 December 2021, the Parliament of Mongolia (the“ Parliament”) adopted the Law of Mongolia on Personal Data Protection (the“ Data Protection Law”) which came into effect and full force from 1 May 2022.
ME	Montenegro	13 February 2026	COND	Under the DP Law, personal data may be transferred to countries or international organizations, where an adequate level of personal data protection exists, subject to the DPA's approval.	no		yes	Definition of sensitive personal data Under the DP Law, sensitive personal data is data relating to: Ethnicity or race Political opinion, or religious or philosophical belief Trade union membership Information on health condition and sexual life Related resources Explore DLA Piper's Privacy Matters 	no		The Law on Protection of Personal Data, Official Journal of Montenegro, nos. 79/2008, 70/2009, 44/2012 22/2017 and 77/2024, (DP Law) is the governing data protection law.
MA	Morocco	20 March 2026	AUTH	Prior authorization from the National Commission is required before any transfer of personal data to a foreign state.	yes	Further, the person in charge of the processing operation can transfer personal data to a foreign state only if the said state ensures under its applicable legal framework an adequate level of protection for the privacy and fundamental rights and freedoms of individuals regarding the processing to w	yes	Definition of sensitive personal data Sensitive personal data is defined under the law as personal data which reveal the racial or ethnic origin, political opinions, religious or philosophical beliefs or union membership of the person concerned or relating to his health, including his genetic data (	no		Morocco’s law governing privacy and data protection is Law No 09-08, dated February 18, 2009 relating to protection of individuals with regard to the processing of personal data and its implementation Decree n° 2-09-165 of May 21, 2009 (together the DP Law).
MZ	Mozambique	17 February 2026	COND	The law does not generally restrict cross-border transfers of personal information.	no		yes	In addition, the AU Convention also considers personal data relating to sex-life, race, health, social measures, legal proceedings and penal or administrative sanctions as sensitive.	no		In Mozambique there is no specific legislation on data protection or privacy.
MM	Myanmar	11 February 2026	COND	By implication from relevant laws, transfer of personal data requires consent.	no		no		no		There is no general data protection law in Myanmar.
NA	Namibia	20 March 2026	FREE	There are no data transfer restrictions in place.	no		no		no		Namibia recognises the right to privacy as a fundamental human right under Article 13 of the Namibian Constitution.
NP	Nepal	20 March 2026	COND	The Data Center and Cloud Service Directives envisages, in its preamble, the encouragement of secure and confidential storage of data, generated by the government, public and private sectors through the use of information technology within the country.	no		yes	Definition of Sensitive Personal Data Privacy Act has listed following information as the“ sensitive information”: his or her caste, ethnicity or origin; political affiliation; religious faith or belief; physical or mental health or condition; dexual orientation or event relating to sexual life; fet	no		Individual Privacy Act, 2018 (2075) (“Privacy Act”) Individual Privacy Regulation, 2020 (2077) (“Privacy Regulation”) National Penal Code, 2017 (2074) (“Penal Code”) Advertisement Act, 2019 (2076) (“Advertisement Act”) Advertisement Regulation, 2020 (2076) (“Advertisement Regulation”) National Broad
NL	Netherlands	18 January 2024	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: Explicit informed consent has been obtained; The transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; The transfer is necessary for the 	yes	The GDPR creates more restrictive rules for the processing of special categories (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10).	yes	Note also that this basis cannot be relied upon by a public authority in the performance of its tasks) Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
NZ	New Zealand	13 February 2026	COND	Generally, an agency should not disclose personal information to another entity unless the disclosure of the information is one of the purposes in connection with which the information was obtained or is directly related to the purposes in connection with which the information was obtained.	no		yes	The Privacy Commissioner has indicated that information about a person’s race, ethnicity, gender or sexual orientation, sex life, health, disability, age, religious, cultural or political beliefs, activities or memberships will generally be considered sensitive in nature.	no		The Privacy Act 2020 (Act) and its Information Privacy Principles (IPPs) govern how agencies collect, use, disclose, store, retain and give access to personal information.
NI	Nicaragua	28 January 2024	COND	Personal data may be assigned and transferred when the purposes are directly related to the legitimate interest of the assignor and the assignee and with the prior consent of the owner of the data, who must be informed about the purpose of the assignment and identify the assignee.	no		yes	Definition of Sensitive Personal Data Sensitive personal data: It is any information that reveals the racial, ethnic, political affiliation, religious, philosophical or moral, union, health or sexual life, criminal record or administrative, economic and financial misconduct; as well as credit and fi	no		Ley No. 787 Ley de Protección de Datos Personales (Law No. 787 Personal Data Protection Law) effective since 29th of March 2012 published in the Official Gazzette No. 61 same day.
NE	Niger	6 January 2025	COND	Transfer of personal data to another country is allowed only when that country provides a superior or equivalent level of protection for privacy, freedoms and fundamental rights of individuals regarding the processing of personal data (Article 62 of the Law).	no		yes	Definition of Sensitive Personal Data Any personal data relating to religious or philosophical opinions or activities, political affiliation, sex life, race, health, social measures, prosecutions, and criminal or administrative sanctions (Article 1 of the Law).	no		The data protection regime in Niger is governed by the following laws and regulations: Law n° 2023-31 of 04 July 2023 amending law n°2022-59 of 16 December 2022 on the protection of personal data; Law n°2022-59 of December 16, 2022 relating to the protection of personal data; Law No.2018-45 of July 
NG	Nigeria	17 March 2026	COND	The Nigeria Data Protection Act has provided in respect of transfer of personal data that such transfer is permissible if the recipient of the data affords its data subject to adequate data protection.	yes	In the absence of adequacy of protection as specified by the NDPA, transfer of personal data from Nigeria to another country is possible if at least one of the following conditions are met: The data subject has provided and not withdrawn consent to such transfer after having been informed of the pos	yes	Definition of sensitive personal data Sensitive Personal Data means personal data relating to an individual’s: genetic and biometric data, for the purpose of uniquely identifying a natural person, race or ethnic origin, religious or similar beliefs, such as those reflecting conscience or philosophy,	no		Principal regulation Nigeria Data Protection Act 2023 (NDPA) The NDPA has been enacted to safeguard the fundamental rights and freedoms, and the interests of data subjects, as guaranteed under the Constitution of the Federal Republic of Nigeria.
MK	North Macedonia	9 February 2026	AUTH	The DP Law itself does not require a special / individual prior approval by the DPA (“Transfer Approval”) if an adequacy decision issued by the DPA for the (importing) third country or international organization exists or the below safeguards are provided (on condition that enforceable data subject 	no		yes	Definition of sensitive personal data Under the DP Law, sensitive personal data is personal data which reveal: racial or ethnic origin; political opinions, religious or philosophical beliefs; membership in a trade union; genetic data, biometric data for the purpose of uniquely identifying a natural 	no		The Republic of North Macedonia regulates personal data protection issues with the Law on Personal Data Protection (Official Gazette of the Republic of North Macedonia, no. 42/20, 294/21, and 101/2025,“ DP Law”), effective 24 February 2020.
NO	Norway	16 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	"EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ("" GDPR"" ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requirin"
PK	Pakistan	17 March 2026	AUTH	Data collated by banks, insurance firms, hospitals, defense establishments and other ‘sensitive’ institutions may not be transferred to any individual or body without authorization from the relevant regulator on a confidential basis.	no		yes	The PDPB however specifically provides a definition of“ sensitive personal data” to mean any personal data relating to: financial information excluding identification number, credit card data, debit card data, account number, or other payment instruments data; health data (physical, behavioural, psy	no		Pakistan currently has not enacted a specific data protection legislation, similar to data protection legislation enacted in other countries of the world.
PA	Panama	12 February 2026	COND	With regards to personal data, the Constitution states that individuals must give their consent in order for their personal data to be transferred or processed in any way.	no		yes	Sensitive Data Sensitive Data is defined by the Data Protection Law as the one that refers to the intimate sphere of its owner, or whose improper use could give rise to discrimination or entail a serious risk for the individual, such as information about the racial or ethnic origin, beliefs or relig	no		Panama has taken significant legislative steps in regulating data protection.
PY	Paraguay	30 March 2026	COND	The Personal Credit Data Protection Law establishes that international transfers of personal data to a recipient that is in a third country (as defined under the Law), or to an international organization where the guarantees, requirements and/or exceptions established in the Law are not met, is a vi	no		yes	Personal data is considered sensitive when it reveals aspects such as racial and ethnic origin; religious, philosophical and moral beliefs or convictions; trade union memberships; political opinion; data related to health, life, sexual preference or orientation, genetic or biometric data aimed at un	no		National Constitution, art. 135, Habeas Data Any person may file an action to have access to (i) personal data about such person or its property; and (ii) information about the use of such data and purpose for which it is kept, whether it is stored in public or private data registries.
PE	Peru	10 February 2026	COND	Transfer Where personal data is transferred to another entity, recipients must be required to handle such personal data in accordance with the provisions of the PDPL and its Regulation.	no		yes	Definition of sensitive personal data Any informatoin revealing or related to an individual's Genetics Biometrics Neural data Moral or emotional data Sexual or family life Personal habits regarding the most intimate sphere Union membership Physical or mental health Other similar informatoin impactin	yes	The data subject’s consent is not required in the following cases: The data are compiled or transferred for the fulfillment of governmental agency duties The data are contained or destined to be contained in a publicly available source The data are related to credit standing and financial solvency, 	Article 2 of the Political Constitution of Peru sets forth certain fundamental rights that every person has, including a right to privacy regarding information that affects personal and family privacy, which was the basis for the creation of a law that specifically protects the use of personal data 
PH	Philippines	16 March 2026	COND	Each PIC is responsible for Personal Information under its control or custody that have been transferred to a third party for processing, whether domestically or internationally, subject to cross-border arrangement and cooperation.	no		yes	"Definition of sensitive personal information"" Sensitive Personal Information"" is defined in the Act as Personal Information: about an individual’s race, ethnic origin, marital status, age, color, and religious, philosophical or political affiliations; about an individual’s health, education, genetic"	yes	The processing of Sensitive Personal Information is prohibited, except in the following cases: the data subject has given his or her specific consent prior to the processing, or in the case of privileged information, all parties to the exchange have given their consent prior to processing; the proce	The Data Privacy Act of 2012 (“ Act” or“ DPA” ) or Republic Act No. 10173, which took effect on 8 September 2012, is the governing law on data privacy matters in the Philippines.
PL	Poland	16 February 2026	COND	EU regulation The European Commission has the power to make an adequacy decision in respect of a third country, determining that it provides for an adequate level of data protection, and therefore personal data may be freely transferred to that country (Article 45(1) of GDPR).	no		yes	The GDPR creates more restrictive rules for the processing of special categories (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10).	yes	Special category data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): Wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable in all Member States of the European Union on 25 May 2018, without requiring impleme
PT	Portugal	12 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: Explicit informed consent has been obtained The transfer is necessary for the performance of a contract or the implementation of pre-contractual measures The transfer is necessary for the co	yes	The GDPR creates more restrictive rules for the processing of special categories (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10).	yes	Note also that this basis cannot be relied upon by a public authority in the performance of its tasks) Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
QA	Qatar	17 January 2024	COND	Data controllers may collect, process and transfer personal data when the data subject consents, unless deemed necessary for realizing a 'lawful purpose' for the controller or for the third party to whom the personal data is sent.	no		yes	Definition of sensitive personal data Sensitive personal data means personal data consisting of information as to a natural person’s: Ethnic origin Health Physical or mental health or condition Religious beliefs Relationships Criminal records Related resources Explore DLA Piper's Privacy Matters blo	no		Note: Please also see Qatar Financial Center (a business center located on-shore in Qatar with its own regulations separate from those of the State of Qatar, including separate data protection regulations).
QA2	Qatar - Financial Centre	17 January 2024	COND	Data controllers may transfer personal data out of the QFC if the personal data is being transferred to a Recipient in a jurisdiction that the DPO has decided has laws and regulations that ensure an adequate level of protection for that personal data.	yes	In the absence of an adequate level of protection, data controllers may transfer personal data out of the QFC if any of the following are true: The data controller or data processor have appropriate adequate safeguards including enforceable rights and remedies for the data subjects which may be prov	yes	Definition of sensitive personal data Personal data revealing or relating to race or ethnicity, political affiliation or opinions, religious or philosophical beliefs, trade-union or organizational membership, criminal records, health or sex life, and genetic and biometric data used to identify an in	yes	Processing sensitive personal data Data controllers may process sensitive personal data when any of the following conditions are met: The data subject has given his / her explicit written consent to the processing; Processing is necessary for the purposes of carrying out the obligations and the exer	Note: Please also see Qatar .
CG	Republic of Congo	4 February 2026	COND	Cross-border transfer of personal data is only allowed if the receiving state offers a similar protection of personal data and the Commission is notified in advance of the intention to transfer data to a third country.	no		yes	Definition of sensitive personal data Genetic data, data relating to minors, data relating to offences, criminal convictions or security measures, biometric data and, all personal data revealing ethnic origin, parentage, political opinions, religious or philosophical beliefs, trade union membership,	no		"The protection of personal data is governed by the law on the protection of data with a personal character N° 29 - 2019 of 10 October 2019 and was published in the official journal on 7 November 2019 (the"" Law"" )."
RO	Romania	6 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where any of the following apply: Explicit informed consent has been obtained The transfer is necessary for the performance of a contract or the implementation of pre-contractual measures The trans	yes	The GDPR creates more restrictive rules for the processing of special categories of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences.	yes	Note also that this basis cannot be relied upon by a public authority in the performance of its tasks) Special Category Data Processing of special category data is prohibited, except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) is a European Union law which entered into force in 2016 and, following a two year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring im
RU	Russia	6 January 2025	AUTH	For the countries which do not provide the adequate protection of personal data for the purposes of the DPA, the transfer to those countries can be performed only after approval from the Agency is received.	no		yes	Such special categories include data related to race, national identity, political opinions, religious and philosophical beliefs, health state, intimacies.	no		Fundamental provisions of data protection law in Russia can be found in the Russian Constitution, international treaties and specific laws.
RW	Rwanda	6 January 2025	COND	The transfer of personal data outside of Rwanda is only permitted for the following cases (article 48): the DC or DP has obtained authorization from the NCSA after providing proof of appropriate safeguards with respect to the protection of personal data; the data subject has given his or her consent	yes	The transfer of personal data outside of Rwanda is only permitted for the following cases (article 48): the DC or DP has obtained authorization from the NCSA after providing proof of appropriate safeguards with respect to the protection of personal data; the data subject has given his or her consent	yes	Definition of Sensitive Personal Data The Data Protection Law defines sensitive personal data as“ information revealing a person’s race, health status, criminal records, medical records, social origin, religious or philosophical beliefs, political opinion, genetic or biometric information, sexual li	no		The law governing data protection in Rwanda is the Law n°058/2021 of 13/10/2021 relating to the protection of personal data and privacy (the“ Data Protection Law” ).
SA	Saudi Arabia	11 February 2026	AUTH	In certain contexts or sectors, specific approvals may be required – for example, in a banking context, approval from the Saudi Central Bank.	yes	The PDPL allows for the transfer of personal data outside of KSA for several purposes (for example, if such action is taken to meet an obligation to which the data subject is a party) and subject to various conditions (for example, the transfer or disclosure must not compromise the national security	yes	"Definitions in Saudi Arabia Definition of personal data Personal data is defined as"" every data – of whatever source or form – that would lead to the identification of the individual specifically, or make it possible to identify him directly or indirectly, including: name, personal identification nu"	no		The Personal Data Protection Law (issued pursuant to Royal Decree No.
SN	Senegal	19 March 2026	COND	Transfer of personal data to another country is prohibited unless the receiving country provides sufficient protection for the Data Subject’s private life, liberties and fundamental rights.	yes	A transfer to a country not offering a sufficient level of protection is possible if: the transfer is timely and non-massive, the Data Subject agrees to it, or if the transfer is necessary to: Protect the life of the Data Subjects/Holders; Protect the public interest; Comply with obligations allowin	yes	Definition of Sensitive Personal Data“ Sensitive Personal Data” means data relating to: religious, philosophical or political opinions or union activities; sex life; race; health; social measures and prosecutions; and criminal and administrative sanctions.	no		The data protection regime in Senegal is mainly governed by the following laws and regulations: Act No. 2008-12 of 25 January 2008 Concerning Personal Data Protection ('the Act') Decree No. 2008-721 of 30 June 2008 relating to the the implementation of Act No 2008-12 of 25 January 2008 Concerning Pe
RS	Serbia	13 February 2026	AUTH	Under the previous data protection law, the DPA’s prior approval was a precondition for a legitimate data transfer whenever a transfer was to be made to any country which had not signed and ratified the Council of Europe Convention for the Protection of Individuals with regard to Automatic Processin	no		no		no		In late 2018, Serbia updated its data protection law to better align with the EU General Data Protection Regulation.
SC	Seychelles	16 March 2026	COND	The Act permits the transfer of personal data outside Seychelles, provided that the transfer ensures an adequate level of protection for the rights and freedoms of data subjects.	no		no		no		The Data Protection Act, 2023 (Act 24 of 2023) came into force on 22 December 2023.
SG	Singapore	27 February 2026	COND	In disclosing or transferring personal data to onshore third parties (including affiliates), an organization should ensure that it has obtained the individual's deemed or express consent to such transfer (unless exemptions apply) and, if this was not done at the time the data was collected, addition	no		no		no		Singapore enacted the Personal Data Protection Act of 2012 (No. 26 of 2012) on October 15, 2012, and it was subsequently amended / enhanced via the Personal Data Protection (Amendment) Act 2020 (together, the“ Act” ).
SX	Sint Maarten	10 February 2025	COND	National Ordinance Personal Data Protection Contains no clauses.	no		yes	Definition of Sensitive Personal Data National Ordinance Personal Data Protection A person’s religion or belief, race, political views, health, sexual life as well as personal data concerning membership of a trade union.	no		National ordinance personal data protection (Landsverordening bescherming persoonsgegevens, National Gazette 2010, Consolidated text no. 2)“ (National Ordinance Personal Data Protection”); General Data Protection Regulation (the“ GDPR”) – a regulation of the European Union which became effective on 
SK	Slovak Republic	6 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR (Article 49) also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is neces	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Note also that this basis cannot be relied upon by a public authority in the performance of its tasks) Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two year transition period, became directly applicable law in all Member States of the European Union on 25 May 2018, without requiring i
SI	Slovenia	10 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	no		yes	Special Category Data Processing of special category data is prohibited (Article 9 GDPR), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to Article 6 GDPR bas	The new Slovenian Data Protection Act (ZVOP-2) which implements certain aspects of the GDPR has been adopted in December 2022 and has entered into force on 26 January 2023.
ZA	South Africa	16 February 2026	COND	POPIA caters for two scenarios relating to the transfer of personal information, namely where a responsible party in South Africa sends personal information to another country to be processed and where a responsible party in South Africa processes personal information that has been received from out	no		yes	Definition of sensitive personal data Special personal information is information concerning religious or philosophical beliefs, race or ethnic origin, trade union membership, political persuasion, health or sex life, biometric information and criminal behavior (to the extent that such information r	no		The right to privacy is recognized as a fundamental human right in the Bill of Rights of the Constitution of the Republic of South Africa and is protected in terms of the Constitution and the common law.
KR	South Korea	20 March 2026	COND	As a general rule, a personal data controller may not provide personal information to a third party without obtaining the prior opt in consent of the data subject.	no		no		yes	Definition of sensitive personal data Under the PIPA,“ sensitive information” is defined as personal information concerning an individual’s ideology, faith, labor union. membership, political views or membership in a political party, health or medical treatment information, sexual orientation, genet	The main laws that apply to the handling of data about individuals are the Personal Information Protection Act (“ PIPA” ), the Act on the Use and Protection of Credit Information (“ CIA” ) and the Act on the Protection and Use of Location Information (“ LIA” ).
ES	Spain	6 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities (which remains under NLOPD, however, when EU/AEPD standard contractual clauses are replaced by other s	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two year transition period, became directly applicable law in all Member States of the European Union on 25 May 2018, without requiring i
LK	Sri Lanka	17 February 2026	COND	The PDPA allows for cross-border data flow and the processing of data in a third country outside Sri Lanka, subject to the parameters set out in the PDPA.	yes	Accordingly, a controller or a processor (including public authorities) may only effect cross border data flows (defined in the PDPA to mean the movement of personal data out of the territory of Sri Lanka for the purpose of processing personal data in a third country) only where: the controller or p	yes	Special categories of personal data are defined to include personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, genetic data and biometric data, data concerning health or a natural person’s sex life or sexual orientation, personal data in relation 	yes	Special categories of personal data In addition to the aforesaid lawful grounds, if processing special categories of personal data, a controller is required to satisfy one of the following additional conditions, on the objective basis of being most appropriate: consent of the data subject, which in 	Sri Lanka until recently did not have legislation pertaining to protection of data and privacy, although different sector specific laws such as the Computer Crimes Act No. 24 of 2007, the Banking Act No. 30 of 1988, the Electronic Transactions Act No. 19 of 2006, the Right to Information Act No. 12 
SE	Sweden	13 February 2026	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special category data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two year transition period, became directly applicable law in all Member States of the European Union on 25 May 2018, without requiring i
CH	Switzerland	6 January 2025	COND	Personal data may be transferred outside Switzerland if the destination country offers an adequate level of data protection.	yes	The disclosure is required in order to protect the life or the physical integrity of the data subject or of a third party and it is not possible to obtain the data subject's consent within a reasonable period of time.	yes	Definition of sensitive personal data Sensitive personal data is defined as: Data relating to religious, philosophical, political or trade union-related views or activities; data relating to health, the intimate sphere or the affiliation to a race or ethnicity; genetic data; biometric data that uniq	no		The processing of personal data is mainly regulated by the Federal Act on Data Protection of 25 September 2020 (FADP) and its ordinances, i.e., the Ordinance on Data Protection (ODP) and the Ordinance on Data Protection Certification.
TW	Taiwan	19 March 2026	COND	The privacy notice to data subjects must set out the extent to which personal data will be transferred to others.	no		yes	Definitions in Taiwan Definition of personal data The PDPA defines“ personal data” as the name, date of birth, identification card number, passport number, special traits, fingerprints, marital status, family, education, profession, medical history, medical treatment, genetic information, sexual lif	yes	Related resources Explore DLA Piper's Privacy Matters blog More Use our Data Privacy Scorebox to assess your organization's level of data protection maturity More Definitions in Taiwan Definition of personal data The PDPA defines“ personal data” as the name, date of birth, identification card number	The Taiwan Personal Data Protection Act (“PDPA”) as most recently amended on November 11, 2025 (which amendments have not yet come into effect) and the Enforcement Rules of the Personal Data Protection Act (“Enforcement Rules”) as most recently amended on March 2, 2016.
TJ	Tajikistan	27 January 2025	COND	Transfer of personal data is allowed if the rights and freedom of the data subject are not violated.	no		no		no		Personal Data Protection Law, No.1537 of 3 August 2018 Protection Data Law, No.631 of 15 May 2002 Informatization Law, No. 40 of 6 August 2001 – Legislation has passed (April 04, 2019, No 1595) that amends and supplements the Informatization Law but the amendments are only of a terminological nature
TZ	Tanzania	24 March 2026	COND	Transfers of personal data outside Tanzania are only allowed where the recipient country: provides adequate protection (i.e., essentially equivalent to that within Tanzania) and the data is necessary for public interest tasks or the transfer does not prejudice the data subject’s interests; or provid	no		yes	Definitions in Tanzania The PDPA defines“ personal data” as any information relating to an identified or identifiable person, that is recorded in any form, including: identity details (e.g. name, identification number) contact details (e.g. address, correspondence) demographic data (e.g. race, natio	no		Data protection is primarily governed by the Personal Data Protection Act, 2022 (“PDPA”), which came into force on 1 May 2023.
TH	Thailand	14 February 2026	LOCAL	In the event that the Data Controller uses or discloses Personal Data which is exempt from the consent requirement (i.e. other legal basis of processing), the Data Controller must maintain a record of such use or disclosure in the manner prescribed under the PDPA, for example the record must be kept	yes	Exemptions may apply such as in the following cases: the data subject has given consent and proper notification has been given by the Data Controller; the transfer is necessary for the performance of a contract between the Data Controller and data subject; or the transfer is necessary in order to pr	yes	"Personal Data is defined as"" any data pertaining to a person that enables the identification of that person, whether directly or indirectly, but specifically excluding data of the deceased ."" Sensitive Personal Data is defined as"" personal data relating to a person’s race, ethnicity, political opini"	no		"At a glance Thailand's Personal Data Protection Act ("" PDPA"" ) became law on May 28, 2019."
TO	Tonga	15 February 2022	COND	None.	no		no		no		This content was last reviewed in 2022 and may not reflect recent legislative updates.
TT	Trinidad and Tobago	26 January 2023	COND	Section 6(l) of the DPA provides that personal information may be transferred outside of Trinidad and Tobago only if the laws in the recipient country povide safeguards for the personal information comparable to those provided by Trinidad and Tobago law.	no		yes	Definitions in Trinidad and Tobago Definition of personal data Personal information is defined as information about an identifiable individual that is recorded in any form including: The name of the individual where it appears with other personal information relating to the individual or where the d	yes	Public Bodies Part III of the DPA provides that a public body may collect and process personal data when the following conditions are met: the collection of that information is expressly authorized by law and The information is collected for the purpose of law enforcement The information relates dir	This content was last reviewed in 2023 and may not reflect recent legislative updates.
